instrument,asset_class,n_test,baseline_precision,baseline_recall,baseline_f1,baseline_roc_auc,baseline_mean_side_return,meta_roc_auc,meta_precision,meta_recall,meta_f1
es1s,equity_index,115,0.4434782608695652,1.0,0.6144578313253012,0.5,-0.0005904185384137,0.4825367647058823,0.4056603773584906,0.8431372549019608,0.5477707006369427
nq1s,equity_index,118,0.559322033898305,1.0,0.717391304347826,0.5,0.004031760368745,0.3394522144522144,0.5526315789473685,0.9545454545454546,0.7
fesx1s,equity_index,123,0.5447154471544715,1.0,0.7052631578947368,0.5,0.0022420589760497,0.5714285714285715,0.5925925925925926,0.7164179104477612,0.6486486486486487
cl1s,energy,83,0.7951807228915663,1.0,0.8859060402684564,0.5,0.030504664599757,0.7005347593582888,0.8,0.9696969696969696,0.8767123287671232
ho1s,energy,2,0.0,0.0,0.0,,-0.0749685830887412,,0.0,0.0,0.0
rb1s,energy,123,0.6504065040650406,1.0,0.7881773399014779,0.5,0.0154998284549081,0.6665697674418605,0.6633663366336634,0.8375,0.7403314917127072
ng1s,energy,56,0.3571428571428571,1.0,0.5263157894736842,0.5,-0.0268708638494565,0.5263888888888889,0.3529411764705882,0.6,0.4444444444444444
gc1s,metals,24,0.5416666666666666,1.0,0.7027027027027027,0.5,0.0006253046527088,0.7342657342657342,0.5416666666666666,1.0,0.7027027027027027
si1s,metals,114,0.4649122807017544,1.0,0.6347305389221557,0.5,-0.0023472466561628,0.4797401793999382,0.4752475247524752,0.9056603773584906,0.6233766233766234
hg1s,metals,118,0.5677966101694916,1.0,0.7243243243243244,0.5,0.0024103366016741,0.5589698565993562,0.5865384615384616,0.9104477611940298,0.7134502923976608
pl1s,metals,99,0.5959595959595959,1.0,0.7468354430379747,0.5,0.0099600611214703,0.6652542372881356,0.684931506849315,0.847457627118644,0.7575757575757576
