experiment,family,n_instruments,mean_roc_auc,median_roc_auc,mean_f1,median_f1,mean_precision,mean_recall,mean_validation_score,share_auc_above_0_5,mean_baseline_precision,feature_complexity,family_complexity,complexity
baseline,logistic,11,0.572514097382887,0.5651992140139639,0.6140920900238737,0.7,0.5141432928917837,0.7804421232057556,0.47561555333526245,0.6363636363636364,0.5018709981381195,0,0,0
baseline,extra_trees,11,0.5193589878662722,0.540298202614379,0.6313591574051635,0.7027027027027027,0.5016524447541763,0.8791990460918548,0.5393352405220522,0.5454545454545454,0.5018709981381195,0,2,2
baseline,random_forest,11,0.5137814174978905,0.543596966149644,0.628302108613505,0.7,0.49774238040862284,0.8707881397745827,0.5199541533161746,0.5454545454545454,0.5018709981381195,0,2,2
baseline,adaboost,11,0.5299228123757536,0.527374031007752,0.6392900358638578,0.7052631578947368,0.5025426851450271,0.9017547087367478,0.5515447994202384,0.6363636363636364,0.5018709981381195,0,3,3
baseline,hist_gradient_boosting,11,0.5124835089556937,0.5154719868173259,0.6054854330544155,0.6740331491712708,0.4960082863539321,0.7993315338825492,0.49774933915448644,0.5454545454545454,0.5018709981381195,0,3,3
baseline,mlp,11,0.5442806953254297,0.5241851404741,0.6079858017494412,0.7032967032967034,0.5200487565139625,0.7818525387552039,0.4670111749950813,0.6363636363636364,0.5018709981381195,0,4,4
baseline + side_adjusted,logistic,11,0.5528099859084554,0.5578332079100297,0.6024681328103308,0.6748466257668712,0.5135660585649956,0.7499167185881505,0.4775646344371863,0.6363636363636364,0.5018709981381195,1,0,1
baseline + side_adjusted,extra_trees,11,0.5125319718281244,0.5160650623885918,0.6218590130824694,0.7027027027027027,0.5108533029083729,0.8440216448225325,0.5446014260944105,0.5454545454545454,0.5018709981381195,1,2,3
baseline + side_adjusted,random_forest,11,0.503430461941059,0.5223336304218656,0.6281784827991935,0.7027027027027027,0.5024551149601109,0.8632658165259987,0.5327734854035489,0.6363636363636364,0.5018709981381195,1,2,3
baseline + side_adjusted,adaboost,11,0.5203082488363808,0.5221680892636775,0.6373547191556171,0.7052631578947368,0.5018752214438286,0.8983456178276569,0.5565225404861489,0.5454545454545454,0.5018709981381195,1,3,4
baseline + side_adjusted,hist_gradient_boosting,11,0.5160025594523494,0.5193622839124309,0.6200408792068236,0.7027027027027027,0.5084963549975012,0.8211940976335238,0.49979622969044707,0.5454545454545454,0.5018709981381195,1,3,4
baseline + side_adjusted,mlp,11,0.4568880955446999,0.4706065261925666,0.6027028940696281,0.6739130434782609,0.4889776466913748,0.8147553579311623,0.49579015593219106,0.2727272727272727,0.5018709981381195,1,4,5
+ signal_history,logistic,11,0.5715270169395761,0.5754525690873364,0.5534514581795639,0.5833333333333334,0.5321565455337386,0.6704875320513012,0.5264151243569632,0.5454545454545454,0.5018709981381195,2,0,2
+ signal_history,extra_trees,11,0.5279557461023737,0.4941554125502281,0.6320300851783756,0.717391304347826,0.5266848280610983,0.8467559073939729,0.5729634013233169,0.45454545454545453,0.5018709981381195,2,2,4
+ signal_history,random_forest,11,0.5401808075041965,0.5453132606978062,0.635621639104102,0.7052631578947368,0.5152177898956425,0.872815943250865,0.5789916058322556,0.6363636363636364,0.5018709981381195,2,2,4
+ signal_history,adaboost,11,0.5624386545013953,0.537808724235963,0.6237040256413887,0.7027027027027027,0.508369009931901,0.8494819814640203,0.6043442825410776,0.45454545454545453,0.5018709981381195,2,3,5
+ signal_history,hist_gradient_boosting,11,0.5379966571834192,0.5185070636124192,0.6235041256443482,0.6853932584269663,0.5227160693369765,0.8193658771268261,0.5680814397355628,0.5454545454545454,0.5018709981381195,2,3,5
+ signal_history,mlp,11,0.5794895522186928,0.5619549932292675,0.6120691173820506,0.6740331491712708,0.5215845143210732,0.8323203895775361,0.5150221028750696,0.6363636363636364,0.5018709981381195,2,4,6
+ vol_stress,logistic,11,0.55420195528205,0.5366525217051995,0.5306445049998728,0.5785123966942148,0.5297394656865909,0.63684293963912,0.5149574300805306,0.5454545454545454,0.5018709981381195,3,0,3
+ vol_stress,extra_trees,11,0.5224533952283817,0.48732731729055256,0.625256613083407,0.7027027027027027,0.5133374836327572,0.8489875179363026,0.5581188449069301,0.45454545454545453,0.5018709981381195,3,2,5
+ vol_stress,random_forest,11,0.5344267460398553,0.5340871954842543,0.6340952880866304,0.7027027027027027,0.5123582545657884,0.8685860208218437,0.577997177177944,0.6363636363636364,0.5018709981381195,3,2,5
+ vol_stress,adaboost,11,0.5583234805980859,0.5412809464581853,0.622466265930786,0.7027027027027027,0.5078428792367792,0.8449365269185659,0.6034827402777327,0.45454545454545453,0.5018709981381195,3,3,6
+ vol_stress,hist_gradient_boosting,11,0.5443136345536463,0.5465166082413995,0.6097722415114751,0.7,0.5066101354505282,0.8181371346375159,0.5692975782994321,0.6363636363636364,0.5018709981381195,3,3,6
+ vol_stress,mlp,11,0.5477513816869788,0.5768999564421395,0.5989518167774706,0.6666666666666666,0.5089892411945519,0.7713602931764345,0.5401537243383225,0.5454545454545454,0.5018709981381195,3,4,7
+ trend_scanning,logistic,11,0.5409468010562839,0.5339552238805969,0.5355386672805952,0.5785123966942148,0.5304616132493392,0.6283715135151838,0.4956332511940735,0.6363636363636364,0.5018709981381195,4,0,4
+ trend_scanning,extra_trees,11,0.5096009378280874,0.4856903054096885,0.6354199480826807,0.7027027027027027,0.5020822558911318,0.8903314182693479,0.5278018020656303,0.45454545454545453,0.5018709981381195,4,2,6
+ trend_scanning,random_forest,11,0.5140030583049338,0.5524844028520499,0.641614067148655,0.7052631578947368,0.5058670418308945,0.903004622496148,0.5379976977746731,0.6363636363636364,0.5018709981381195,4,2,6
+ trend_scanning,adaboost,11,0.5514733304764612,0.5412809464581853,0.570504769869911,0.7027027027027027,0.4778790619595291,0.7938001632822023,0.614570583329332,0.45454545454545453,0.5018709981381195,4,3,7
+ trend_scanning,hist_gradient_boosting,11,0.5227958064227013,0.5329062685680332,0.6112929747941034,0.7027027027027027,0.5139140809431872,0.8042914977957207,0.5446273469928612,0.6363636363636364,0.5018709981381195,4,3,7
+ trend_scanning,mlp,11,0.5569996717672854,0.5555809561365654,0.6082286435947523,0.6742857142857143,0.5340622828447217,0.756726354601875,0.5199639668502033,0.6363636363636364,0.5018709981381195,4,4,8
+ regime_interactions,logistic,11,0.5556016787058911,0.5435872110038045,0.5461821794237973,0.5735294117647058,0.5322922020155134,0.6284803334719904,0.4971789053484864,0.7272727272727273,0.5018709981381195,5,0,5
+ regime_interactions,extra_trees,11,0.5205788832711653,0.4829684714795009,0.6303659495780166,0.7027027027027027,0.5190826115341064,0.8544560430791832,0.5418676629868614,0.36363636363636365,0.5018709981381195,5,2,7
+ regime_interactions,random_forest,11,0.5175181730798831,0.5185442790562784,0.6301137838013212,0.7005649717514124,0.5113884842728067,0.8624645844752655,0.567887630132163,0.5454545454545454,0.5018709981381195,5,2,7
+ regime_interactions,adaboost,11,0.5596782013736494,0.5385671977124183,0.6283187621872846,0.7052631578947368,0.5046290252294221,0.8593042021298466,0.6121105701277938,0.45454545454545453,0.5018709981381195,5,3,8
+ regime_interactions,hist_gradient_boosting,11,0.5177705449020102,0.5284499405822936,0.6214138731725088,0.6896551724137931,0.5166773983097843,0.8200173987584474,0.516814929035445,0.5454545454545454,0.5018709981381195,5,3,8
+ regime_interactions,mlp,11,0.5043379607955425,0.5086223295288264,0.6174328542411017,0.6624203821656051,0.5115902916273813,0.8003188716091405,0.412733217062798,0.45454545454545453,0.5018709981381195,5,4,9
